,coef,std err,t,P>|t|,[0.025,0.975]
avg_sale_price_1,-1.1717,0.052,-22.474,0.0,-1.274,-1.069
avg_sale_price_2,-0.2613,0.067,-3.875,0.0,-0.394,-0.129
avg_sale_price_4,-0.5511,0.061,-8.984,0.0,-0.671,-0.431
avg_sale_price_5,-0.1462,0.074,-1.987,0.047,-0.291,-0.002
avg_sale_price_6,0.3853,0.062,6.187,0.0,0.263,0.507
sales_sum,0.9141,0.027,34.24,0.0,0.862,0.966
spring,-0.6056,0.037,-16.265,0.0,-0.679,-0.533
DoW_1,-0.1106,0.044,-2.517,0.012,-0.197,-0.024
DoW_3,-0.1335,0.044,-3.032,0.002,-0.22,-0.047
DoW_4,-0.1188,0.044,-2.696,0.007,-0.205,-0.032
