,coef,std err,t,P>|t|,[0.025,0.975]
avg_sale_price_1,-0.1178,0.03,-3.867,0.0,-0.178,-0.058
avg_sale_price_2,-0.0757,0.034,-2.198,0.028,-0.143,-0.008
avg_sale_price_3,-0.6761,0.025,-27.449,0.0,-0.724,-0.628
avg_sale_price_4,-0.2893,0.032,-8.998,0.0,-0.352,-0.226
avg_sale_price_5,-0.1987,0.041,-4.901,0.0,-0.278,-0.119
avg_sale_price_6,0.2096,0.038,5.58,0.0,0.136,0.283
sales_sum,0.8204,0.014,59.683,0.0,0.793,0.847
winter,0.1574,0.027,5.862,0.0,0.105,0.21
spring,0.3073,0.026,11.827,0.0,0.256,0.358
summer,0.1083,0.026,4.201,0.0,0.058,0.159
DoW_1,-0.0588,0.024,-2.427,0.015,-0.106,-0.011
DoW_2,-0.0595,0.024,-2.441,0.015,-0.107,-0.012
DoW_3,-0.0778,0.024,-3.199,0.001,-0.125,-0.03
DoW_4,-0.065,0.024,-2.665,0.008,-0.113,-0.017
DoW_5,-0.0592,0.024,-2.452,0.014,-0.107,-0.012
