,coef,std err,t,P>|t|,[0.025,0.975]
avg_sale_price_1,-0.1946,0.033,-5.849,0.0,-0.26,-0.129
avg_sale_price_4,-0.8762,0.035,-25.14,0.0,-0.945,-0.808
avg_sale_price_5,-0.2934,0.041,-7.167,0.0,-0.374,-0.213
avg_sale_price_6,-0.4077,0.039,-10.518,0.0,-0.484,-0.332
sales_sum,0.9875,0.015,65.27,0.0,0.958,1.017
winter,0.1069,0.03,3.59,0.0,0.048,0.165
spring,-0.1946,0.029,-6.682,0.0,-0.252,-0.137
summer,-0.3078,0.029,-10.772,0.0,-0.364,-0.252
DoW_1,-0.0688,0.025,-2.795,0.005,-0.117,-0.021
DoW_2,-0.0705,0.025,-2.861,0.004,-0.119,-0.022
