,coef,std err,t,P>|t|,[0.025,0.975]
avg_sale_price_1,0.2025,0.057,3.561,0,0.091,0.314
avg_sale_price_2,-0.2901,0.063,-4.586,0,-0.414,-0.166
avg_sale_price_3,0.2662,0.045,5.975,0,0.179,0.354
avg_sale_price_5,0.6819,0.068,9.966,0,0.548,0.816
avg_sale_price_6,-0.6682,0.07,-9.585,0,-0.805,-0.531
sales_sum,0.3281,0.023,14.065,0,0.282,0.374
winter,0.262,0.05,5.232,0,0.164,0.36
spring,0.5502,0.048,11.374,0,0.455,0.645
summer,0.5865,0.048,12.271,0,0.493,0.68
DoW_1,-0.199,0.045,-4.425,0,-0.287,-0.111
DoW_2,-0.2723,0.045,-6.041,0,-0.361,-0.184
DoW_3,-0.2734,0.045,-6.053,0,-0.362,-0.185
DoW_4,-0.2408,0.045,-5.32,0,-0.33,-0.152
DoW_5,-0.1611,0.045,-3.586,0,-0.249,-0.073
